UNIVERSITIES,SCHOOL TYPE,ENTRANCE EXAM,DEGREE PROGRAMS,LOCATION,WEBSITE LINK
La Concsolacion College - Pasig,Private,Required,"BS PSYCHOLOGY, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS BUSINESS ADMINISTRATION",City of Pasig,https://lccpasig.edu.ph/
New England College,Private,Required,"BS BUSINESS ADMINISTRATION, BACHELOR OF SECONDARY EDUCATION",Quezon City,https://nec.edu.ph/
Our Lady of Lourdes College,Private,Required,"BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION, BS BUSINESS ADMINISTRATION, BS INFORMATION TECHNOLOGY, BS CRIMINOLOGY, BS HOTEL AND RESTAURANT MANAGEMENT",City of Valenzuela,https://www.facebook.com/OLLCValenzuelaOfficial/
AMA Computer University - Caloocan Campus,Private,Required,"BS COMPUTER SCIENCE, BS INFORMATION SYSTEMS, BS INFORMATION TECHNOLOGY, BS COMPUTER ENGINEERING, BS ELECTRONICS ENGINEERING, BS INDUSTRIAL ENGINEERING, BACHELOR IN BUSINESS ADMINISTRATION, BS ACCOUNTANCY, BA ENGLISH, BA ECONOMICS, BA MASS COMMUNICATION, BA POLITICAL SCIENCE",City of Caloocan,https://www.facebook.com/amacaloocancampus/
Saint Rita College,Private,Required,"BACHELOR IN ELEMENTARY EDUCATION, BACHELOR IN SECONDARY EDUCATION, BA ENGLISH STUDIES",City of Manila,https://srcm.edu.ph/
Center for Culinary Arts - Main Campus,Private,Required,BS ENTREPRENEURIAL MANAGEMENT,Quezon City,https://cca-manila.edu.ph/
Bethel Bible College,Private,Required,"BA MINISTRY, BA RELIGIOUS EDUCATION, BACHELOR OF CHRISTIAN MINISTRIES",City of Valenzuela,https://www.facebook.com/bethelbiblecollegeph/
AMA Computer University - Mandaluyong Campus,Private,Required,"BS COMPUTER SCIENCE, BS INFORMATION SYSTEMS, BS INFORMATION TECHNOLOGY, BS COMPUTER ENGINEERING, BS ELECTRONICS ENGINEERING, BS INDUSTRIAL ENGINEERING, BACHELOR IN BUSINESS ADMINISTRATION, BS ACCOUNTANCY, BA ENGLISH, BA ECONOMICS, BA MASS COMMUNICATION, BA POLITICAL SCIENCE",City of Mandaluyong,https://web.facebook.com/AMAMandaluyongCampusOfficial/?_rdc=1&_rdr
Mary Chiles College,Private,Required,"BS NURSING, BS RESPIRATORY THERAPY, BS MIDWIFERY",City of Manila,https://marychilescollege.edu.ph/
Thames International,Private,Required,"BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BA COMMUNICATION",Quezon City,https://thames.edu.ph/
Manila Theological College,Private,Required,"BS THEOLOGY, BS BIOLOGY",City of Manila,https://mtccollegeofmed.weebly.com/
Immaculada Concepcion Colleges,Private,Required,"BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION, BS BUSINESS ADMINISTRATION, BS COMPUTER SCIENCE, BS BUSINESS ADMINISTRATION, BS CRIMINOLOGY, BS PSYCHOLOGY, BS INFORMATION TECHNOLOGY, BS EARLY CHILDHOOD EDUCATION, BS SPECIAL NEEDS EDUCATION, BS TOURISM",City of Caloocan,https://www.immaculada.edu.ph/home
AMA Computer University - Fairview Campus,Private,Required,"BS COMPUTER SCIENCE, BS INFORMATION SYSTEMS, BS INFORMATION TECHNOLOGY, BS COMPUTER ENGINEERING, BS ELECTRONICS ENGINEERING, BS INDUSTRIAL ENGINEERING, BACHELOR IN BUSINESS ADMINISTRATION, BS ACCOUNTANCY, BA ENGLISH, BA ECONOMICS, BA MASS COMMUNICATION, BA POLITICAL SCIENCE",Quezon City,https://www.ama.edu.ph/
La Consolacion College - Valenzuela,Private,Required,"BS BUSINESS ADMINISTRATION, BS INFORMATION TECHNOLOGY,  BS HOSPITALITY MANAGEMENT",City of Valenzuela,https://web.facebook.com/lccvalenzuelaofficial/?_rdc=1&_rdr
Informatics College Caloocan,Private,Required,"BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS INFORMATION SYSTEMS, BS OFFICE ADMINISTRATION",City of Caloocan,https://informatics.edu.ph/
Informatics College Northgate,Private,Required,"BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS INFORMATION SYSTEMS, BS OFFICE ADMINISTRATION",City of Muntinlupa,https://informatics.edu.ph/
AMA Computer University - Parañaque Campus,Private,Required,"BS COMPUTER SCIENCE, BS INFORMATION SYSTEMS, BS INFORMATION TECHNOLOGY, BS COMPUTER ENGINEERING, BS ELECTRONICS ENGINEERING, BS INDUSTRIAL ENGINEERING, BACHELOR IN BUSINESS ADMINISTRATION, BS ACCOUNTANCY, BA ENGLISH, BA ECONOMICS, BA MASS COMMUNICATION, BA POLITICAL SCIENCE",City of Parañaque,https://web.facebook.com/amaccparanaque/?_rdc=1&_rdr
South SEED-LPDH College,Private,Required,"BS MEDICAL TECHNOLOGY, BS PHARMACY, BS RADIOLOGIC TECHNOLOGY",City of Las Piñas,https://web.facebook.com/SSLCOfficialPage
South Mansfield College,Private,Required,"BS INFORMATION TECHNOLOGY, BS HOTEL AND RESTAURANT MANAGEMENT, BS TOURISM",City of Muntinlupa,https://www.smc.edu.ph/
Holy Rosary College Foundation,Private,Required,BACHELOR OF SECONDARY EDUCATION,City of Caloocan,https://web.facebook.com/HRCF.official
The Manila Times College,Private,Required,"BS NURSING, BS MEDICAL LABORATORY SCIENCE, BS ENTREPRENEURSHIP, BA JOURNALISM, BA BROADCASTING, BA MULTIMEDIA RATS",City of Manila,https://tmtc.edu.ph/
Divine Word Mission Seminary,Private,Required,BA PHILOSOPHY,Quezon City,https://sites.google.com/dwms.ph.education/dwms/
Mary Johnston College of Nursing,Private,Required,"BS NURSING, BS NUTRITION AND DIETETICS",City of Manila,https://mjcn.pcu.edu.ph/
St. Camillus College Seminary,Private,Required,BA PHILOSOPHY,City of Marikina,https://web.facebook.com/sccs.phil/?_rdc=1&_rdr
National Christian Life College,Private,Required,"BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION",City of Marikina,https://web.facebook.com/NclcMarikina
University of Santo Thomas,Private,Required,"BS ACCOUNTANCY, BS ACCOUNTING INFORMATION SYSTEMS, BS BUSINESS ECONOMICS, BS CULINARY ENTREPRENEURSHIP, BS ENTREPRENEURSHIP, BS FINANCIAL MANAGEMENT, BS HOSPITALITY LEADERSHIP, BS HUMAN RESOURCE MANAGEMENT, BS MANAGEMENT ACCOUNTING, BS MARKETING MANAGEMENT, BS RECREATION AND LEISURE MANAGEMENT, BS TRAVEL OPERATIONS AND SERVICE MANAGEMENT, BS PHARMACY, BS CLINICAL PHARMACY, BS BIOLOGY, BS MEDICAL BIOLOGY, BS MEDICAL TECHNOLOGY, BS NURSING, BS NUTRITION AND DIETETICS, BS OCCUPATIONAL THERAPY, BS PHYSICAL THERAPY, BA SPEECH LANGUAGE PATHOLOGY, BS SPEECH LANGUAGE PATHOLOGY, BA ASIAN STUDIES, BACHELOR OF ASIAN STUDIES, BS BEHAVIORAL SCIENCE, BA COMMUNICATION, BA CREATIVE WRITING, BACHELOR OF EARLY CHILDHOOD EDUCATION, BA ECONOMICS, BA ENGLISH LANGUAGE EDUCATION, BA ENGLISH LANGUAGE STUDIES, BA FILIPINO LANGUAGE EDUCATION, BA HISTORY, BA JOURNALISM, BS LEGAL MANAGEMENT, BA LITERATURE, BA MATHEMATICS EDUCATION, BS MATHEMATICS EDUCATION, BS PSYCHOLOGY, BA POLITICAL SCIENCE, BS POLITICAL SCIENCE, BA RELIGIOUS AND VALUES EDUCATION, BA SCIENCE EDUCATION, BS SCIENCE DDUCATION, BS SOCIOLOGY, BA INTERIOR DESIGN, BS INTERIOR DESIGN, BACHELOR OF INTERIOR DESIGN, BACHELOR OF MUSIC EDUCATION, BA MUSIC EDUCATION, BACHELOR OF PHYSICAL EDUCATION, BS SPORTS SCIENCE, BA PHILOSOPHY, BA THEOLOGY, BA SACRED THEOLOGY, BS ARCHITECTURE, BS BIOCHEMISTRY, BS BIOLOGY, BS BUSINESS ANALYTICS, BS CHEMISTRY, BS CIVIL ENGINEERING, BS COMPUTER SCIENCE, BS DATA SCIENCE, BS ELECTRICAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS ENVIRONMENTAL BIOLOGY, BS FOOD SCIENCE, BS FOOD TECHNOLOGY, BS GAME DEVELOPMENT, BS GEOTECHNICAL ENGINEERING, BS INDUSTRIAL BIOLOGY, BS INFORMATION TECHNOLOGY, BS LIBRARY AND INFORMATION SCIENCE, BS MECHANICAL ENGINEERING, BS MICROBIOLOGY, BS SERVICE MANAGEMENT, BS TRANSPORTATION ENGINEERING, BS ARCHITECTURE, BACHELOR OF SECONDARY EDUCATION, BS CHEMICAL ENGINEERING",City of Manila,https://www.ust.edu.ph/
University of the East  ,Private,Required,"BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION, BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS CIVIL ENGINEERING, BS COMPUTER ENGINEERING, BS ELECTRICAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS MECHANICAL ENGINEERING, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BA LEGAL MANAGEMENT, BACHELOR OF PUBLIC ADMINISTRATION, BA BROADCASTING, BA JOURNALISM, BACHELOR OF LIBRARY AND INFORMATION SCIENCE, BS BIOLOGY, BS MATHEMATICS, BA ENGLISH, BA INTERNATIONAL STUDIES, BA POLITICAL SCIENCE, BS PSYCHOLOGY, BS HOTEL AND RESTAURANT MANAGEMENT, BS TOURISM MANAGEMENT, BS MANAGEMENT ACCOUNTING",City of Manila,https://www.ue.edu.ph/
St. Joseph's College of Quezon City,Private,Required,"BS SOCIAL WORK, BS PSYCHOLOGY, BS BUSINESS ADMINISTRATION, BS ACCOUNTANCY, BS HOSPITALITY MANAGEMENT, BS INFORMATION TECHNOLOGY, BS NURSING, BACHELOR OF EARLY CHILDHOOD EDUCATION, BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION, BACHELOR OF SPECIAL NEEDS EDUCATION",Quezon City,https://www.sjcqc.edu.ph/
University of the East - Caloocan,Private,Required,"BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION, BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS CIVIL ENGINEERING, BS COMPUTER ENGINEERING, BS ELECTRICAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS MECHANICAL ENGINEERING, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BA LEGAL MANAGEMENT, BACHELOR OF PUBLIC ADMINISTRATION, BA BROADCASTING, BA JOURNALISM, BACHELOR OF LIBRARY AND INFORMATION SCIENCE, BS BIOLOGY, BS MATHEMATICS, BA ENGLISH, BA INTERNATIONAL STUDIES, BA POLITICAL SCIENCE, BS PSYCHOLOGY, BS HOTEL AND RESTAURANT MANAGEMENT, BS TOURISM MANAGEMENT, BS MANAGEMENT ACCOUNTING",City of Caloocan,https://www.facebook.com/UniversityoftheEastUE/
Asia Pacific College,Private,Required,"BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS CIVIL ENGINEERING, BS COMPUTER ENGINEERING, BS ELECTRONICS ENGINEERING, BS ARCHITECTURE, BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS TOURISM MANAGEMENT, BA PSYCHOLOGY, BA MULTIMEDIA ARTS",City of Makati,https://www.facebook.com/asiapacificcollege.edu/
"Metropolitan Medical Center - College of Arts, Science & Technology",Private,Required,"BS MEDICAL TECHNOLOGY, BS NURSING, BS PHARMACY, BS PHYSICAL THERAPY, BS RADIOLOGIC TECHNOLOGY",City of Manila,https://www.metro.edu.ph/
Bestlink College of the Philippines,Private,Not Required,"BS INFORMATION TECHNOLOGY, BS HOSPITALITY MANAGEMENT, BS OFFICE ADMINISTRATION, BS BUSINESS ADMINISTRATION, BS CRIMINOLOGY, BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION, BS COMPUTER ENGINEERING, BS TOURISM MANAGEMENT, BS ENTREPRENEURSHIP, BS ACCOUNTING INFORMATION SYSTEMS, BS PSYCHOLOGY  ",Quezon City,https://bcp.edu.ph/
Our Lady of Fatima University - Quezon City Campus,Private,Not Required,"BS NURSING, BS PHARMACY, BS PHYSICAL THERAPY, BS MEDICAL LABORATORY SCIENCE, BS MARINE TRANSPORTATION, BS INTERNATIONAL HOSPITALITY MANAGEMENT, BACHELOR OF SECONDARY EDUCATION, BS RESPIRATORY THERAPY, BS MARINE ENGINEERING, BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SPECIAL NEEDS EDUCATION, BS CRIMINOLOGY, BS FORENSIC SCIENCE, BS INFORMATION TECHNOLOGY, BS CIVIL ENGINEERING, BS ELECTRONICS ENGINEERING, BS ACCOUNTANCY, BS ACCOUNTING INFORMATION SYSTEMS, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS BILOGY, BS PSYCHOLOGY, BS ENVIRONMENTAL SCIENCE, BA COMMUNICATION, BS RADIOLOGIC TECHNOLOGY",Quezon City,https://www.fatima.edu.ph/
Philippine College of Health Sciences,Private,Not Required,"BS NURSING, BS RADIOLOGIC TECHNOLOGY, BS PHARMACY, BS PSYCHOLOGY, BS PHYSICAL THERAPY, BS OCCUPATIONAL THERAPY, BS MEDICAL LABORATORY SCIENCE, BS CRIMINOLOGY, BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION",City of Manila,https://www.facebook.com/p/Philippine-College-of-Health-Sciences-Inc-100057074756089/
Arellano University - Pasay,Private,Not Required,"BA ENGLISH, BA HISTORY, BA POLITICAL SCIENCE, BA PSYCHOLOGY, BS CRIMINOLOGY, BS MEDICAL TECHNOLOGY, BS NURSING, BS PHARMACY, BS PHYSICAL THERAPY, BS RADIOLOGIC TECHNOLOGY, BS INFORMATION TECHNOLOGY, BS ACCOUNTANCY,  BS BUSINESS ADMINISTRATION, BS BUSINESS AND COMMERCE, BS BUSINESS TECHNOLOGY, BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION, BACHELOR OF PHYSICAL EDUCATION, BACHELOR OF LIBRARY AND INFORMATION SCIENCE, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS MIDWIFERY, BS PSYCHOLOGY",City of Pasay,https://www.arellano.edu.ph/
Assumption College,Private,Not Required,"BS INTERIOR DESIGN, BS PSYCHOLOGY, BA  PSYCHOLOGY, BACHELOR OF PERFORMING ARTS, BA COMMUNICATION,  BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF EARLY CHILDHOOD EDUCATION, BACHELOR OF SECONDARY EDUCATION, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS ACCOUNTANCY, BS MANAGEMENT ACCOUNTING",City of Makati,https://www.assumption.edu.ph/
World Citi Colleges - Quezon City Campus,Private,Not Required,"BS ACCOUNTANCY, BS INFORMATION TECHNOLOGY, BS TOURISM MANAGEMENT, BS HOSPITALITY MANAGEMENT, BS CRIMINOLOGY, BS BUSINESS ADMINISTRATION, BA COMMUNICATION, BS MEDICAL TECHNOLOGY, BS NURSING, BS PHARMACY, BS PHYSICAL THERAPY, BS PSYCHOLOGY, BS RADIOLOGIC TECHNOLOGY, BS NUTRITION AND DIETETICS, BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION",Quezon City,https://www.worldciti.edu.ph/
Global City Innovative College,Private,Not Required,"BS TOURISM MANAGEMENT, BS HOSPITALITY MANAGEMENT, BS INFORMATION TECHNOLOGY, BS BUSINESS MANAGEMENT",City of Makati,https://global.edu.ph/college/
STI College - Las Piñas,Private,Not Required,"BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS COMPUTER ENGINEERING, BS BUSINESS ADMINISTRATION, BS ACCOUNTING INFORMATION SYSTEMS, BS HOSPITALITY MANAGEMENT, BA COMMUNICATION, BA MULTIMEDIA ARTS, BS TOURISM MANAGEMENT",City of Las Piñas,https://sti.edu/campuses-details.asp?campus_id=TFBT
Arellano University - Pasig,Private,Not Required,"BA ENGLISH, BA HISTORY, BA POLITICAL SCIENCE, BA PSYCHOLOGY, BS CRIMINOLOGY, BS MEDICAL TECHNOLOGY, BS NURSING, BS PHARMACY, BS PHYSICAL THERAPY, BS RADIOLOGIC TECHNOLOGY, BS INFORMATION TECHNOLOGY, BS ACCOUNTANCY,  BS BUSINESS ADMINISTRATION, BS BUSINESS AND COMMERCE, BS BUSINESS TECHNOLOGY, BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION, BACHELOR OF PHYSICAL EDUCATION, BACHELOR OF LIBRARY AND INFORMATION SCIENCE, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS MIDWIFERY, BS PSYCHOLOGY",City of Pasig,https://arellano.edu.ph/contact/andres-bonifacio-campus-au-pasig/
STI College - Fairview,Private,Not Required,"BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS COMPUTER ENGINEERING, BS BUSINESS ADMINISTRATION, BS HOSPITALITY MANAGEMENT, BA COMMUNICATION, BS TOURISM MANAGEMENT",Quezon City,https://www.sti.edu/campuses-details.asp?campus_id=RkFJ
STI College - Global City,Private,Not Required,"BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS COMPUTER ENGINEERING, BS BUSINESS ADMINISTRATION, BS ACCOUNTING INFORMATION SYSTEMS, BS HOSPITALITY MANAGEMENT, BA COMMUNICATION, BS TOURISM MANAGEMENT",City of Taguig,https://www.sti.edu/campuses-details.asp?campus_id=R0xP
ABE International Business College - Cubao Campus,Private,Not Required,"BS HOTEL AND RESTAURANT MANAGEMENT, BS TOURISM, BS TOURISM MANAGEMENT, BS ACCOUNTANCY, BS INFORMATION MANAGEMENT, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE",Quezon City,https://abe.edu.ph/
PNTC College - Manila,Private,Not Required,"BS MARINE TRANSPORTATION, BS MARINE ENGINEERING, BS CUSTOMS ADMINISTRATION, BS OFFICE ADMINISTRATION, ",City of Manila,https://pntc.edu.ph/college/
Infotech Institute of Arts and Sciences,Private,Not Required,"BS INFORMATION TECHNOLOGY, BS HOSPITALITY MANAGEMENT",City of Parañaque,https://www.facebook.com/infotechcollegeofartsandsciences/
STI College - Alabang,Private,Not Required,"BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS INFORMATION SYSTEMS, BS BUSINESS ADMINISTRATION, BS ACCOUNTANCY, BS ACCOUNTING INFORMATION SYSTEMS, BS MANAGEMENT ACCOUNTING, BS HOSPITALITY MANAGEMENT, BS CULINARY MANAGEMENT, BS TOURISM MANAGEMENT, BS COMPUTER ENGINEERING, BA COMMUNICATION, BA MULTIMEDIA ARTS, BA PSYCHOLOGY, BS MARINE TRANSPORTATION, BS MARINE ENGINEERING, BS NAVAL ARCHITECTURE, BS CRIMINOLOGY",City of Muntinlupa,https://www.sti.edu/campuses-details.asp?campus_id=QUxC
Martinez Memorial College,Private,Not Required,"BS RADIOLOGIC TECHNOLOGY, BS PSYCHOLOGY, BS HOTEL AND RESTAURANT MANAGEMENT",City of Caloocan,https://www.facebook.com/martinezcollegesinc1962/
Our Lady of Guadalupe Colleges,Private,Not Required,"BS MEDICAL TECHNOLOGY, BS NURSING, BS RADIOLOGIC TECHNOLOGY",City of Mandaluyong,https://olgc.edu.ph/
Mary the Queen College of Science and Technology,Private,Not Required,"BS CRIMINOLOGY, BS INFORMATION TECHNOLOGY, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS PSYCHOLOGY, BACHELOR OF BUSINESS ADMINISTRATION, BACHELOR IN ELEMENTARY EDUCATION, BACHELOR IN SECONDARY EDUCATION, BS ACCOUNTANCY",Quezon City,https://www.facebook.com/MQCQCmarythequeencollege/
St. John Technological College of the Philippines,Private,Not Required,"BS MECHANICAL ENGINEERING, BS COMPUTER ENGINEERING, BS ELECTRICAL ENGINEERING, BS ELECTRONICS AND COMMUNICATIONS ENGINEERING, BS COMPUTER SCIENCE",Quezon City,https://sjtcp.edu.ph/
AMA Online Education,Private,Not Required,"BS COMPUTER SCIENCE, BS INFORMATION SYSTEMS, BS INFORMATION TECHNOLOGY, BS COMPUTER ENGINEERING, BS ELECTRONICS ENGINEERING, BS INDUSTRIAL ENGINEERING, BACHELOR IN BUSINESS ADMINISTRATION, BS ACCOUNTANCY, BA ENGLISH, BA ECONOMICS, BA MASS COMMUNICATION, BA POLITICAL SCIENCE",Quezon City,https://beta.amauonline.com/#/
Concordia International College,Private,Not Required,"BS BUSINESS MANAGEMENT, BS TOURISM, BS HOSPITALITY MANAGEMENT",City of Pasig,https://phconcordia.com/
Samson College of Science and Technology - Cubao,Private,Not Required,"BS CRIMINOLOGY, BS INFORMATION TECHNOLOGY",Quezon City,https://samson.edu.ph/
